Idx,q_sum0,q_sum1,q_sum2
11500,20.910796022415163,23.86041353225708,19.404440898895263
11600,21.355505695343016,20.482993335723876,24.25532999038696
11700,19.152859592437743,18.855403690338136,19.36078115463257
11800,22.610429420471192,21.545933494567873,21.030422019958497
11900,23.1198175239563,19.290273818969727,19.829235095977783
12000,25.26813886642456,17.205213842391966,24.03727403640747
12100,25.463542919158936,22.709785356521607,26.562946586608888
12200,20.234866256713868,21.179425773620604,22.553942022323607
12300,26.39263155937195,22.386113986968994,23.202132844924925
12400,19.994449310302734,22.930859699249268,24.935590057373048
12500,18.426395196914672,24.09455410003662,19.882879104614258
12600,23.476912593841554,19.762136268615723,25.4505659866333
12700,25.854214611053468,24.51526494026184,24.400762634277342
12800,19.970960607528685,23.083528270721434,19.60936855316162
12900,22.101439895629884,23.48175693511963,20.741654806137085
13000,24.856186046600342,19.221241188049316,23.75114330291748
13100,23.233338317871095,19.34765811920166,20.077119522094726
13200,22.350326671600342,18.76094428062439,18.959720363616942
13300,24.294350204467772,19.57804704666138,17.371767444610597
13400,22.990131816864015,23.292011518478393,20.13926176071167
13500,26.953396968841552,26.656450157165526,25.367614669799806
13600,18.546677045822143,19.250642051696776,19.716301307678222
13700,17.859886245727537,23.670231533050536,21.424136390686034
13800,20.41098653793335,24.876294174194335,21.40581558227539
13900,25.69315114021301,23.130482769012453,19.206031179428102
14000,21.207316455841063,24.252978897094728,20.84517972946167
14100,26.00595594406128,24.227571067810057,22.288695430755617
14200,22.64526155471802,20.427804927825928,21.282623767852783
14300,23.914617099761962,21.975431861877443,21.47257528305054
14400,22.006827030181885,24.941796913146973,23.188256969451903
14500,22.80678108215332,23.775877933502198,25.48216848373413
14600,22.052752017974854,21.154324016571046,18.875464267730713
14700,23.89792516708374,24.995934257507326,20.33422956466675
14800,26.542620124816896,25.443911952972414,22.778775062561035
14900,25.249152336120606,22.13386486053467,24.8099667930603
15000,21.894542045593262,19.814158458709716,26.154960289001465
15100,22.05435386657715,20.577550964355467,23.53572769165039
15200,22.606960201263426,24.34165786743164,23.089829292297363
15300,27.078539752960204,20.758111896514894,21.568530044555665
15400,24.310434684753417,20.95831322669983,23.79016653060913
15500,23.287507667541504,22.250384349822998,17.261994409561158
15600,27.963961238861085,27.930557327270506,24.72258062362671
15700,26.32217576980591,27.884253406524657,21.940682926177978
15800,21.284381494522094,20.246139259338378,23.339730110168457
15900,25.72743362426758,20.066220989227293,25.725783767700197
16000,25.975602798461914,20.81228036880493,23.827747192382812
16100,24.724481620788573,23.02999225616455,19.532855319976807
16200,23.18864776611328,19.800384941101075,21.983101081848144
16300,22.6815598487854,25.993380737304687,26.274309787750244
16400,20.059243850708008,23.066802015304564,24.667517681121826
16500,21.785190620422362,20.93096176147461,20.925632572174074
16600,24.27822774887085,19.48278615951538,24.768525409698487
16700,20.5336629486084,19.335066051483153,23.2041979598999
16800,22.011381492614746,22.92066385269165,24.479575786590576
16900,23.279967460632324,24.208727436065672,25.934444751739502
17000,23.123143081665038,18.143010902404786,22.774035358428954
17100,26.835080966949462,17.622764444351198,21.144635257720946
17200,23.343860301971436,22.454619398117064,25.81736249923706
17300,29.277847232818605,24.848106956481935,21.504505195617675
17400,25.87601276397705,26.725330505371094,24.06493730545044
17500,21.31820997238159,19.511661376953125,23.523762187957765
17600,24.261490097045897,21.381855020523073,24.446656227111816
17700,26.30830467224121,25.10916353225708,21.973863677978514
17800,20.191997241973876,21.890072193145752,22.9274773979187
17900,21.56934965133667,26.009959144592287,20.44052927017212
