Idx,p1_loss1,p2_loss1,p1_loss2,p2_loss2,Unnamed: 0,p1_loss0,p2_loss0
25000,2.251979862042332,2.0187304190928743,2.58727650763949,1.8294052288608178,24,1.9467847785662584,1.694241443978341
26000,2.906269875213387,2.345442101652751,2.4627514750891946,1.9523525171857787,25,2.3950690306125813,1.9952908894631136
27000,2.495317690791736,1.9154094506734995,2.4713362544997888,1.9552529292125485,26,1.9119767734515851,1.8700377396579972
28000,2.4992604736273862,1.5060560313896054,2.3838570328187574,1.7610844440540618,27,2.657149921100334,1.9229662176893385
29000,2.455397216235724,2.141719114690795,2.634754276598379,1.995736547165746,28,2.895609137617294,1.838329600971102
30000,2.9204109750127136,1.8647336362507836,2.2718527657075676,1.8681702361579058,29,1.9467785428973308,1.5345222929768758
31000,2.8560462274935707,2.2127775746044414,2.2531351130205475,1.565115801457071,30,2.22080976912475,2.2111418722522456
32000,2.759725300237118,2.0233687390633293,2.3383259227221513,1.8525358967189713,31,2.186354349325506,1.6822750717521482
33000,1.9891540318100935,2.049826073661727,2.4915312781302412,1.8281676693795939,32,2.053120398303732,1.866651432550443
34000,2.6252269930731034,1.5368213240845796,1.8955120474133373,1.743070926613696,33,1.9001497952267528,1.7709356743001168
35000,2.916988462643814,1.455108884193449,2.416515918066748,1.7938911443154486,34,2.200641096178062,2.037817626366398
36000,1.8774138976354973,1.884488866498325,2.1582890448165832,1.9293540076222129,35,1.7811466165783494,1.6421514362582186
37000,2.241186997439508,1.9886404753565436,2.0686235890723763,1.8817841371959165,36,2.4725769332477023,1.5455469541496574
38000,2.234545039835346,2.2849992723179557,2.358985364034127,1.5520693590301922,37,1.8823741380747412,1.9834368826578488
39000,2.369526128556748,1.7731273089446917,2.7028355109222355,1.8473122008858762,38,2.196385982330425,1.458910716981086
40000,2.3901813737810795,1.7235521199956405,2.5847980666796073,1.8708716161903232,39,2.122075974024656,1.9207469682200269
41000,2.681288404347042,1.4163270562566352,1.928851093600602,1.6275114509911925,40,2.4523806148159037,1.6487714208189264
42000,1.6960767554886014,1.4553525405736834,2.7321138142798684,1.6620487003887479,41,1.9272541690009588,1.459342418148247
43000,2.4099954466471254,1.6242670647208988,2.531482451602877,1.6249955208989466,42,2.275603695627546,1.9392982904014624
44000,2.7076118267066844,2.3780898517394653,2.1694631673875193,1.9949634841354447,43,2.5466281618604083,1.7057423664378786
45000,2.079032963868756,1.737993831938402,2.7758006143174896,2.128165229561401,44,2.261161806775257,1.544694176509859
