Idx,loss_guard1,loss_move1,loss_move_progress1,loss_position1,loss1,loss_guard2,loss_move2,loss_move_progress2,loss_position2,loss2,Unnamed: 0,loss_guard0,loss_move0,loss_move_progress0,loss_position0,loss0
1499000,0.0007664446755615905,0.02488265310524384,0.001202715796286995,1.613196031770614e-05,0.026867945537410128,0.0009024540601535485,0.0462528902728711,0.0009801945937055407,2.0550486197422503e-05,0.04815608941292758,1498,0.0007582205483047,0.0427762469167875,0.0006074845059512,2.7732285739697103e-05,0.0441696842567833
1500000,0.0008478082605777395,0.03562901774164138,0.0008968489898287427,2.1628111158739667e-05,0.03739530310320659,0.0012666831778379332,0.040518855246631375,0.0010892692223464025,2.9067529909713174e-05,0.04290387517672542,1499,0.0008414102581925,0.0282377123645114,0.0008024919509202,2.835348426132356e-05,0.0299099680578855
1501000,0.0015197662046727096,0.05213609517358662,0.0014121518315814896,3.350676197796862e-05,0.0551015199718188,0.0015290544328676284,0.03046728129392121,0.0012008142860082404,2.5264683756030417e-05,0.0332224146965531,1500,0.0008421226722489,0.0269957752419391,0.0007581916168803,2.608233207558408e-05,0.028622171863144
1502000,0.001023247554791123,0.038722890782026016,0.0015563137600010251,2.010542846062702e-05,0.041322557525278754,0.0017779922444299602,0.040830574243878176,0.0019988198043548486,2.862404852095457e-05,0.04463601034118394,1501,0.0012639044210873,0.0481660007048102,0.0013622232934894,2.9877723369002853e-05,0.050822006142756
1503000,0.0010457291783704547,0.04555129807882433,0.00104733688406467,2.382643148188046e-05,0.04766819057274134,0.0009689500888452827,0.0447302851263703,0.0008846223001306441,2.487360804449179e-05,0.04660873112339072,1502,0.0007440853803382,0.0292028469394981,0.000578166531878,2.770073050192145e-05,0.0305527995822162
1504000,0.0006524435502213564,0.0354031027311563,0.0006324101169892454,2.3347375678983705e-05,0.03671130377404588,0.0013041732421724568,0.0448059535200561,0.0015153759211962558,3.121701734894833e-05,0.047656719700773766,1503,0.0011727835660819,0.0324204986614059,0.0010405208436705,2.7609543738549736e-05,0.034661412614897
1505000,0.0013072004289672314,0.03306332157083232,0.001207981955144014,3.312892128912981e-05,0.035611632876232695,0.001273382742179523,0.0270308488671953,0.00173473661481305,2.715328286695895e-05,0.030066121507054833,1504,0.0011230985653882,0.0347390853260117,0.0010882585250734,2.8884570372099015e-05,0.0369793269868454
1506000,0.0013469918489532199,0.04327778793932373,0.0009477310440142333,2.35074285150092e-05,0.04559601826080618,0.0017373921576724492,0.062488770433758375,0.0012403701924979193,2.9427148409737924e-05,0.06549595993233848,1505,0.0012343759100172,0.0420134023791984,0.0016269328646919,2.7300056480646928e-05,0.0449020112103883
1507000,0.0009901490006661913,0.03966740399332155,0.0013682626750414074,2.0490218134325834e-05,0.04204630588716344,0.0011526041146777395,0.030036970081353063,0.0016355524468337956,2.1129953918500923e-05,0.03284625659678309,1506,0.001260650294929,0.0701871010136845,0.0011830320458572,3.629189052082005e-05,0.0726670752449916
1508000,0.0013046837884050752,0.0487826202698811,0.002112480403329066,2.5956051474912644e-05,0.05222574051309015,0.0012703584464644085,0.03540272133888491,0.0011670017846171828,2.1542933415970132e-05,0.03786162450338246,1507,0.000806308744155,0.0401370315410717,0.0015697905194348,2.8979324708317656e-05,0.0425421101293699
1509000,0.001019270319717335,0.03997723405935181,0.0009209312604172668,2.938921644086845e-05,0.04194682485592726,0.0016239710228877762,0.04831960404651957,0.0013557173609077572,2.7329634431100037e-05,0.0513266220647462,1508,0.0010268948257713,0.0558631905493606,0.0008784961926898,2.7517337405644325e-05,0.0577960989052274
1510000,0.0011695329843486846,0.044500883759504395,0.0007783031565701109,2.4225625677704697e-05,0.04647294552610089,0.0013515380895878374,0.03669723516830057,0.001685518864338114,2.2511920806913555e-05,0.039756804043033396,1509,0.0013474248079813,0.0363216852688286,0.0009954144210949,2.9419739258544907e-05,0.0386939442371634
1511000,0.001111145586229398,0.03150945582546289,0.0011465008658305322,3.970045235606223e-05,0.03380680272987888,0.0012442692168523272,0.03834592136866738,0.0005817884497525795,2.0487289452907564e-05,0.040192466324725167,1510,0.000965480455418,0.0270395495125268,0.0007747654684433,2.739394692028796e-05,0.0288071893833085
1512000,0.0013679134337500223,0.04183512660554935,0.0013457443429021937,2.370688968501877e-05,0.044572491271886575,0.0011045820150344524,0.03682604360960994,0.0011696763070194018,3.170915394366469e-05,0.03913201108560745,1511,0.0013401295131729,0.0318054391909057,0.0011144935521787,2.6947082611092908e-05,0.0342870093388685
1513000,0.0014967700591161303,0.04744991364586551,0.000989712734007938,3.79467388601209e-05,0.04997434317784969,0.0009286716515364688,0.04543279787905569,0.0013746762193719015,3.936674059441048e-05,0.04777551249055847,1512,0.0009969873835691,0.0461511532190628,0.001503241136483,2.707644749635918e-05,0.0486784581866114
