Idx,q_sum0,q_sum1,q_sum2
6100,16.662700290679933,20.672578048706054,20.26734211921692
6200,21.937428092956544,21.98535758972168,22.065349950790406
6300,19.137480335235594,22.857937717437743,22.64525541305542
6400,19.276793699264527,25.527290019989014,19.02831233024597
6500,19.839596366882326,18.521394777297974,19.722392139434813
6600,22.93438690185547,22.502791347503663,23.25681498527527
6700,17.99496500015259,22.52655252456665,24.994659938812255
6800,20.327086534500122,23.82930377960205,16.86646996498108
6900,19.26615294456482,22.970016651153564,23.110121908187867
7000,18.834916276931764,21.144310245513918,23.658483486175538
7100,18.58125925064087,20.605009489059448,16.15927001953125
7200,19.18251491546631,23.93855275154114,24.768720703125
7300,23.27213426589966,18.446501045227052,23.662080001831054
7400,23.167098731994628,20.827317714691162,22.215941505432127
7500,17.851979322433472,22.487827949523925,21.056583404541016
7600,18.76568738937378,19.630503253936766,24.1865784740448
7700,25.30350399017334,17.381623582839964,23.474398031234742
7800,23.807298212051393,18.321605062484743,24.11038122177124
7900,22.417893590927125,15.886837205886842,23.929294109344482
8000,18.204012899398805,16.005734539031984,22.820758361816406
8100,18.038100509643556,16.481560916900634,22.39494941711426
8200,19.45441993713379,16.526217021942138,18.5867156124115
8300,17.487359161376954,20.580871839523315,22.358672971725465
8400,20.443076000213622,22.133712110519408,22.597150745391847
8500,18.5005544090271,25.12264030456543,22.28725462913513
8600,23.494926509857176,19.920961103439332,21.45852565765381
8700,19.039044818878175,19.92511040687561,21.069345293045043
8800,19.678193273544313,19.402607479095458,22.18702940940857
8900,21.096221561431886,21.47636100769043,25.55600732803345
9000,21.43593325614929,21.994307651519776,22.38612398147583
9100,20.817041683197022,21.707697200775147,21.886054239273072
9200,21.8532741355896,20.040038328170777,23.065839214324953
9300,21.498548603057863,21.32738377571106,23.40135401725769
9400,25.922243766784668,20.8528688621521,20.002635612487794
9500,22.873926010131836,21.89341070175171,17.887398319244383
9600,22.27863268852234,19.703929719924925,20.897870464324953
9700,24.135297966003417,17.590703582763673,18.4907057762146
9800,21.558186845779417,19.901206455230714,25.50613676071167
9900,19.698580017089842,22.41222822189331,19.390445404052734
10000,17.564569187164306,15.863512210845947,17.75039295196533
10100,18.502521629333497,17.21859832763672,18.817945699691773
10200,21.846554937362672,18.697297048568725,22.328039388656617
10300,18.252037944793702,19.722730798721315,21.70110414505005
