Idx,win_rate0,win_rate1,win_rate2
158000,0.42,0.51,0.38
159000,0.43,0.52,0.4
160000,0.46,0.51,0.38
161000,0.47,0.51,0.4
162000,0.49,0.49,0.4
163000,0.45,0.48,0.37
164000,0.46,0.46,0.38
165000,0.46,0.45,0.41
166000,0.46,0.45,0.42
167000,0.45,0.45,0.43
168000,0.46,0.47,0.44
169000,0.48,0.49,0.44
170000,0.47,0.47,0.44
171000,0.46,0.49,0.44
172000,0.46,0.46,0.43
173000,0.46,0.48,0.42
174000,0.45,0.49,0.41
175000,0.45,0.48,0.43
176000,0.45,0.49,0.45
177000,0.44,0.49,0.42
178000,0.44,0.51,0.42
179000,0.46,0.47,0.41
180000,0.47,0.5,0.42
181000,0.46,0.48,0.41
182000,0.45,0.48,0.42
183000,0.44,0.48,0.45
184000,0.47,0.49,0.45
185000,0.47,0.48,0.44
186000,0.46,0.49,0.44
187000,0.47,0.47,0.43
188000,0.47,0.45,0.43
189000,0.5,0.45,0.44
190000,0.53,0.45,0.45
191000,0.55,0.43,0.44
192000,0.53,0.44,0.43
193000,0.53,0.45,0.45
194000,0.53,0.43,0.45
195000,0.55,0.44,0.47
196000,0.55,0.42,0.47
197000,0.55,0.44,0.48
198000,0.54,0.44,0.5
199000,0.54,0.45,0.51
200000,0.53,0.45,0.5
201000,0.54,0.45,0.49
202000,0.54,0.45,0.5
203000,0.53,0.44,0.47
204000,0.52,0.43,0.47
205000,0.49,0.44,0.49
206000,0.5,0.44,0.48
207000,0.51,0.43,0.47
208000,0.49,0.44,0.46
209000,0.48,0.42,0.46
210000,0.49,0.4,0.45
211000,0.49,0.41,0.45
212000,0.47,0.42,0.46
213000,0.46,0.4,0.46
214000,0.45,0.43,0.45
215000,0.46,0.42,0.44
216000,0.47,0.41,0.42
217000,0.47,0.43,0.42
218000,0.47,0.45,0.42
219000,0.48,0.46,0.42
220000,0.48,0.47,0.42
221000,0.47,0.48,0.4
222000,0.45,0.48,0.42
223000,0.45,0.48,0.42
224000,0.47,0.47,0.4
225000,0.46,0.47,0.42
226000,0.47,0.45,0.43
227000,0.48,0.46,0.44
228000,0.5,0.46,0.46
229000,0.49,0.47,0.45
230000,0.48,0.46,0.48
231000,0.49,0.47,0.48
232000,0.49,0.47,0.48
233000,0.49,0.5,0.47
234000,0.5,0.51,0.47
235000,0.52,0.52,0.47
236000,0.52,0.52,0.49
237000,0.53,0.51,0.5
238000,0.53,0.51,0.51
239000,0.53,0.5,0.52
240000,0.53,0.5,0.54
241000,0.54,0.5,0.53
242000,0.54,0.49,0.53
243000,0.52,0.48,0.53
244000,0.52,0.46,0.55
245000,0.53,0.45,0.55
246000,0.53,0.43,0.56
247000,0.52,0.45,0.56
248000,0.53,0.46,0.57
249000,0.53,0.47,0.59
250000,0.53,0.44,0.56
251000,0.54,0.43,0.55
252000,0.52,0.43,0.55
253000,0.54,0.42,0.54
254000,0.54,0.45,0.53
255000,0.55,0.45,0.54
256000,0.56,0.44,0.55
257000,0.57,0.45,0.58
258000,0.59,0.45,0.6
259000,0.59,0.46,0.57
260000,0.58,0.46,0.55
261000,0.56,0.45,0.53
262000,0.56,0.43,0.56
263000,0.56,0.45,0.56
264000,0.55,0.47,0.55
265000,0.55,0.46,0.57
266000,0.57,0.44,0.57
267000,0.55,0.44,0.55
268000,0.54,0.46,0.54
269000,0.54,0.46,0.53
270000,0.56,0.47,0.52
271000,0.57,0.47,0.52
272000,0.58,0.47,0.51
273000,0.59,0.45,0.51
274000,0.62,0.44,0.5
275000,0.61,0.44,0.5
276000,0.61,0.46,0.52
277000,0.59,0.44,0.54
278000,0.6,0.42,0.54
279000,0.6,0.42,0.51
280000,0.58,0.43,0.5
281000,0.58,0.42,0.48
282000,0.57,0.44,0.48
283000,0.57,0.43,0.47
284000,0.57,0.44,0.48
285000,0.56,0.44,0.48
286000,0.56,0.44,0.5
287000,0.55,0.45,0.49
288000,0.56,0.43,0.47
289000,0.56,0.42,0.46
290000,0.56,0.45,0.45
291000,0.54,0.44,0.45
292000,0.56,0.42,0.44
293000,0.55,0.42,0.41
294000,0.55,0.42,0.42
295000,0.58,0.41,0.4
296000,0.57,0.41,0.41
297000,0.57,0.43,0.41
298000,0.57,0.45,0.44
299000,0.59,0.46,0.45
300000,0.59,0.45,0.43
301000,0.57,0.44,0.43
302000,0.57,0.45,0.43
303000,0.56,0.44,0.45
304000,0.56,0.45,0.46
305000,0.57,0.43,0.49
306000,0.59,0.4,0.49
307000,0.59,0.4,0.47
