Idx,win_rate0,win_rate1,win_rate2
349000,0.77,0.77,0.74
350000,0.77,0.75,0.75
351000,0.78,0.72,0.76
352000,0.79,0.69,0.77
353000,0.79,0.7,0.77
354000,0.8,0.75,0.76
355000,0.79,0.74,0.78
356000,0.8,0.75,0.78
357000,0.78,0.74,0.75
358000,0.76,0.74,0.76
359000,0.76,0.75,0.77
360000,0.78,0.72,0.8
361000,0.76,0.71,0.78
362000,0.74,0.72,0.78
363000,0.73,0.77,0.75
364000,0.69,0.78,0.74
365000,0.67,0.77,0.72
366000,0.66,0.78,0.72
367000,0.67,0.75,0.76
368000,0.67,0.75,0.76
369000,0.67,0.75,0.75
370000,0.7,0.71,0.77
371000,0.69,0.73,0.76
372000,0.69,0.75,0.74
373000,0.69,0.76,0.75
374000,0.67,0.74,0.76
375000,0.7,0.75,0.77
376000,0.69,0.72,0.77
377000,0.71,0.71,0.78
378000,0.75,0.68,0.8
379000,0.75,0.7,0.81
380000,0.78,0.71,0.78
381000,0.78,0.76,0.8
382000,0.79,0.74,0.8
383000,0.8,0.74,0.79
384000,0.79,0.74,0.79
385000,0.79,0.76,0.75
386000,0.78,0.75,0.75
387000,0.78,0.75,0.74
388000,0.78,0.78,0.74
389000,0.79,0.79,0.72
390000,0.79,0.81,0.69
391000,0.79,0.82,0.7
392000,0.77,0.82,0.71
393000,0.74,0.82,0.73
394000,0.74,0.81,0.72
395000,0.72,0.83,0.73
396000,0.72,0.81,0.74
397000,0.73,0.8,0.72
398000,0.73,0.8,0.76
399000,0.77,0.8,0.75
400000,0.78,0.79,0.72
401000,0.79,0.77,0.71
402000,0.77,0.77,0.73
403000,0.8,0.74,0.72
404000,0.8,0.73,0.72
405000,0.79,0.72,0.71
406000,0.79,0.71,0.7
407000,0.81,0.69,0.67
408000,0.81,0.7,0.69
409000,0.8,0.7,0.68
410000,0.78,0.7,0.66
411000,0.77,0.69,0.68
412000,0.76,0.69,0.67
413000,0.76,0.69,0.64
414000,0.75,0.68,0.67
415000,0.75,0.69,0.69
416000,0.72,0.68,0.68
417000,0.72,0.7,0.68
418000,0.74,0.7,0.68
419000,0.75,0.71,0.7
420000,0.74,0.72,0.71
421000,0.71,0.74,0.69
422000,0.7,0.74,0.7
423000,0.72,0.75,0.69
424000,0.72,0.74,0.72
425000,0.73,0.77,0.71
426000,0.74,0.79,0.72
427000,0.72,0.78,0.73
428000,0.75,0.78,0.76
429000,0.78,0.79,0.8
430000,0.78,0.79,0.79
431000,0.77,0.8,0.79
432000,0.75,0.81,0.77
433000,0.75,0.83,0.73
434000,0.78,0.82,0.76
435000,0.8,0.82,0.78
436000,0.82,0.82,0.8
437000,0.8,0.82,0.8
438000,0.8,0.85,0.79
439000,0.79,0.86,0.76
440000,0.79,0.87,0.77
441000,0.79,0.87,0.76
442000,0.78,0.89,0.75
443000,0.79,0.88,0.74
444000,0.78,0.87,0.73
445000,0.82,0.88,0.74
446000,0.81,0.86,0.77
447000,0.8,0.85,0.8
448000,0.77,0.84,0.78
449000,0.76,0.82,0.78
450000,0.76,0.8,0.75
451000,0.77,0.79,0.74
452000,0.78,0.79,0.73
453000,0.8,0.75,0.75
454000,0.79,0.72,0.72
455000,0.79,0.72,0.72
456000,0.76,0.7,0.71
457000,0.75,0.72,0.72
458000,0.74,0.7,0.71
459000,0.77,0.7,0.72
460000,0.79,0.67,0.71
461000,0.8,0.68,0.74
462000,0.82,0.68,0.72
463000,0.78,0.69,0.72
464000,0.77,0.66,0.74
465000,0.76,0.71,0.74
466000,0.76,0.71,0.76
467000,0.76,0.72,0.74
468000,0.8,0.72,0.78
469000,0.82,0.73,0.79
470000,0.83,0.76,0.81
471000,0.83,0.78,0.8
472000,0.83,0.81,0.8
473000,0.8,0.81,0.77
474000,0.77,0.82,0.76
475000,0.76,0.8,0.77
476000,0.78,0.8,0.77
477000,0.77,0.79,0.77
478000,0.76,0.79,0.77
479000,0.75,0.77,0.76
480000,0.77,0.77,0.76
481000,0.75,0.76,0.76
482000,0.71,0.73,0.76
483000,0.71,0.7,0.74
484000,0.69,0.69,0.74
485000,0.71,0.69,0.72
486000,0.71,0.67,0.73
487000,0.71,0.69,0.76
488000,0.7,0.7,0.78
489000,0.71,0.68,0.78
490000,0.74,0.69,0.79
491000,0.75,0.7,0.8
492000,0.76,0.72,0.81
493000,0.77,0.73,0.8
494000,0.77,0.74,0.81
495000,0.79,0.75,0.82
496000,0.8,0.79,0.84
497000,0.77,0.77,0.83
498000,0.78,0.81,0.82
499000,0.81,0.77,0.83
500000,0.81,0.79,0.83
501000,0.8,0.79,0.83
502000,0.82,0.82,0.83
503000,0.81,0.82,0.83
504000,0.81,0.83,0.82
505000,0.82,0.84,0.81
506000,0.8,0.84,0.79
507000,0.77,0.83,0.79
508000,0.78,0.82,0.8
509000,0.79,0.83,0.8
510000,0.79,0.81,0.81
511000,0.78,0.83,0.8
512000,0.78,0.81,0.77
513000,0.76,0.82,0.75
514000,0.75,0.78,0.74
515000,0.73,0.76,0.72
516000,0.72,0.76,0.72
517000,0.72,0.73,0.72
518000,0.7,0.74,0.71
519000,0.68,0.74,0.7
520000,0.69,0.73,0.72
521000,0.72,0.75,0.7
522000,0.7,0.76,0.68
523000,0.69,0.75,0.69
524000,0.68,0.76,0.68
525000,0.7,0.76,0.71
526000,0.7,0.8,0.73
527000,0.71,0.82,0.72
528000,0.72,0.82,0.75
529000,0.72,0.82,0.76
530000,0.71,0.82,0.8
531000,0.72,0.8,0.79
532000,0.73,0.81,0.8
533000,0.74,0.81,0.81
534000,0.73,0.8,0.8
535000,0.72,0.79,0.81
536000,0.73,0.77,0.82
537000,0.73,0.78,0.82
538000,0.76,0.76,0.81
539000,0.76,0.74,0.81
540000,0.78,0.74,0.79
541000,0.76,0.73,0.8
542000,0.77,0.73,0.78
543000,0.78,0.72,0.77
544000,0.78,0.71,0.74
545000,0.78,0.7,0.73
546000,0.79,0.72,0.71
547000,0.8,0.74,0.71
548000,0.82,0.71,0.72
549000,0.83,0.71,0.7
550000,0.84,0.69,0.72
551000,0.84,0.69,0.7
552000,0.82,0.72,0.73
553000,0.81,0.72,0.71
554000,0.83,0.72,0.72
555000,0.81,0.72,0.72
556000,0.8,0.73,0.75
557000,0.77,0.75,0.79
558000,0.78,0.75,0.79
559000,0.79,0.71,0.78
560000,0.77,0.7,0.77
561000,0.78,0.7,0.78
562000,0.78,0.68,0.79
563000,0.78,0.69,0.79
564000,0.77,0.67,0.79
565000,0.77,0.69,0.78
566000,0.8,0.69,0.78
567000,0.77,0.71,0.77
568000,0.75,0.71,0.76
569000,0.73,0.73,0.76
570000,0.75,0.72,0.74
571000,0.76,0.71,0.72
572000,0.73,0.74,0.73
573000,0.71,0.71,0.73
574000,0.71,0.75,0.71
575000,0.69,0.77,0.72
576000,0.68,0.79,0.73
577000,0.68,0.81,0.76
578000,0.68,0.79,0.76
579000,0.68,0.79,0.78
580000,0.7,0.77,0.76
581000,0.73,0.74,0.74
582000,0.75,0.72,0.73
583000,0.74,0.72,0.76
584000,0.77,0.73,0.76
585000,0.78,0.73,0.76
586000,0.78,0.73,0.79
587000,0.79,0.74,0.79
588000,0.8,0.74,0.8
589000,0.8,0.72,0.81
590000,0.8,0.69,0.81
591000,0.8,0.7,0.82
592000,0.79,0.71,0.83
593000,0.77,0.67,0.85
594000,0.79,0.7,0.83
595000,0.76,0.69,0.83
596000,0.79,0.68,0.85
597000,0.79,0.69,0.81
598000,0.81,0.7,0.79
599000,0.8,0.69,0.82
600000,0.77,0.7,0.79
601000,0.79,0.74,0.79
602000,0.79,0.74,0.79
603000,0.77,0.74,0.75
604000,0.77,0.76,0.74
605000,0.79,0.72,0.75
606000,0.78,0.74,0.72
607000,0.8,0.75,0.72
608000,0.8,0.75,0.76
609000,0.81,0.74,0.76
610000,0.79,0.73,0.78
611000,0.81,0.72,0.78
612000,0.82,0.71,0.79
613000,0.83,0.71,0.79
614000,0.85,0.67,0.79
615000,0.84,0.68,0.79
616000,0.82,0.68,0.81
617000,0.81,0.7,0.81
618000,0.81,0.73,0.8
619000,0.82,0.73,0.78
620000,0.78,0.75,0.78
621000,0.77,0.77,0.77
622000,0.78,0.74,0.78
623000,0.77,0.75,0.78
624000,0.76,0.74,0.76
625000,0.74,0.77,0.75
626000,0.75,0.77,0.73
627000,0.73,0.77,0.74
628000,0.76,0.78,0.74
629000,0.78,0.74,0.74
630000,0.78,0.73,0.73
631000,0.76,0.72,0.72
632000,0.76,0.69,0.73
633000,0.81,0.68,0.75
634000,0.8,0.67,0.74
635000,0.8,0.69,0.74
636000,0.79,0.72,0.74
637000,0.82,0.73,0.73
638000,0.78,0.71,0.73
639000,0.78,0.7,0.75
640000,0.75,0.7,0.78
641000,0.74,0.68,0.76
642000,0.74,0.68,0.74
643000,0.72,0.68,0.73
644000,0.74,0.7,0.76
645000,0.69,0.73,0.76
646000,0.7,0.73,0.74
647000,0.7,0.72,0.73
648000,0.71,0.72,0.73
649000,0.68,0.71,0.74
650000,0.71,0.71,0.74
651000,0.72,0.71,0.77
652000,0.73,0.73,0.77
653000,0.73,0.73,0.75
654000,0.72,0.73,0.77
655000,0.71,0.72,0.79
656000,0.73,0.73,0.79
657000,0.73,0.72,0.78
658000,0.75,0.69,0.79
659000,0.76,0.7,0.8
660000,0.75,0.71,0.79
661000,0.76,0.72,0.79
662000,0.78,0.7,0.79
663000,0.77,0.71,0.79
664000,0.78,0.7,0.79
665000,0.78,0.69,0.79
666000,0.78,0.69,0.78
667000,0.79,0.68,0.78
668000,0.78,0.68,0.75
669000,0.76,0.65,0.75
670000,0.75,0.68,0.76
671000,0.73,0.7,0.77
672000,0.72,0.69,0.78
673000,0.72,0.7,0.8
674000,0.72,0.71,0.8
675000,0.72,0.69,0.78
676000,0.68,0.7,0.76
